"ID,""Descricao"",""ID_OCUPA_N"""
"1,""RECEPCIONISTA DE SEGURO SAUDE"",""422115"""
"2,""RECEPCIONISTA DE HOTEL"",""422120"""
"3,""RECEPCIONISTA DE BANCO"",""422125"""
"4,""TELEFONISTA"",""422205"""
"5,""TELEOPERADOR"",""422210"""
"6,""MONITOR DE TELEATENDIMENTO"",""422215"""
"7,""OPERADOR DE RADIO-CHAMADA"",""422220"""
"8,""OPERADOR DE TELEMARKETING ATIVO"",""422305"""
"9,""OPERADOR DE TELEMARKETING ATIVO E RECEPTIVO"",""422310"""
"10,""OPERADOR DE TELEMARKETING RECEPTIVO"",""422315"""
"11,""OPERADOR DE TELEMARKETING TECNICO"",""422320"""
"12,""DESPACHANTE DOCUMENTALISTA"",""423105"""
"13,""ENTREVISTADOR CENSITARIO E DE PESQUISAS AMOSTRAIS"",""424105"""
"14,""ENTREVISTADOR DE PESQUISA DE OPINIAO E MIDIA"",""424110"""
"15,""ENTREVISTADOR DE PESQUISAS DE MERCADO"",""424115"""
"16,""ENTREVISTADOR DE PRECOS"",""424120"""
"17,""ESCRITURARIO EM ESTATISTICA"",""424125"""
"18,""SUPERVISOR DE TRANSPORTES"",""510105"""
"19,""ADMINISTRADOR DE EDIFICIOS"",""510110"""
"20,""SUPERVISOR DE ANDAR"",""510115"""
"21,""CHEFE DE PORTARIA DE HOTEL"",""510120"""
"22,""CHEFE DE COZINHA"",""510125"""
"23,""CHEFE DE BAR"",""510130"""
"24,""MAITRE"",""510135"""
"25,""SUPERVISOR DE LAVANDERIA"",""510205"""
"26,""SUPERVISOR DE BOMBEIROS"",""510305"""
"27,""SUPERVISOR DE VIGILANTES"",""510310"""
"28,""COMISSARIO DE VOO"",""511105"""
"29,""COMISSARIO DE TREM"",""511110"""
"30,""TAIFEIRO"",""511115"""
"31,""FISCAL DE TRANSPORTES COLETIVOS (EXCETO TREM)"",""511205"""
"32,""DESPACHANTE DE TRANSPORTES COLETIVOS (EXCETO TREM)"",""511210"""
"33,""COBRADOR DE TRANSPORTES COLETIVOS (EXCETO TREM)"",""511215"""
"34,""BILHETEIRO (ESTACOES DE METRO, FERROVIARIAS E ASSE"",""511220"""
"35,""GUIA DE TURISMO"",""511405"""
"36,""EMPREGADO DOMESTICO NOS SERVICOS GERAIS"",""512105"""
"37,""EMPREGADO DOMESTICO ARRUMADOR"",""512110"""
"38,""EMPREGADO DOMESTICO FAXINEIRO"",""512115"""
"39,""EMPREGADO DOMESTICO DIARISTA"",""512120"""
"40,""MORDOMO DE RESIDENCIA"",""513105"""
"41,""MORDOMO DE HOTELARIA"",""513110"""
"42,""GOVERNANTA DE HOTELARIA"",""513115"""
"43,""COZINHEIRO GERAL"",""513205"""
"44,""COZINHEIRO DO SERVICO DOMESTICO"",""513210"""
"45,""COZINHEIRO INDUSTRIAL"",""513215"""
"46,""COZINHEIRO DE HOSPITAL"",""513220"""
"47,""COZINHEIRO DE EMBARCACOES"",""513225"""
"48,""CAMAREIRA DE TEATRO"",""513305"""
"49,""CAMAREIRA DE TELEVISAO"",""513310"""
"50,""CAMAREIRO DE HOTEL"",""513315"""
"51,""CAMAREIRO DE EMBARCACOES"",""513320"""
"52,""GUARDA-ROUPEIRA DE CINEMA"",""513325"""
